"","X","word","source","corpusfreq","corpusrank","english","transl_en","textsame"
"131",130,"bheith","gdoc",2559,131,0,"to be",0
"132",131,"dún","mm",2555,132,0,"close",0
"133",132,"ghaeilge","gdoc",2548,133,0,"Irish",0
"134",133,"mbeadh","gdoc",2521,134,0,"would be",0
"135",134,"siad","mm",2492,135,0,"they",0
"136",135,"seán","mm",2411,136,0,"John",0
"137",136,"bail","mm",2390,137,1,"condition",0
"138",137,"o","gdoc",2368,138,1,"from",0
"139",138,"á","mm",2325,139,0,"being",0
"140",139,"dul","mm",2323,140,0,"to go",0
"141",140,"fás","mm",2308,141,0,"growth",0
"142",141,"againn","gdoc",2280,142,0,"we",0
"143",142,"amach","mm",2222,143,0,"out",0
"144",143,"ná","mm",2218,144,0,"than",0
"145",144,"ina","gdoc",2201,145,0,"in which",0
"146",145,"c","mm",2171,146,1,"c",1
"147",146,"snas","mm",2163,147,0,"polish",0
"148",147,"cuív","cm",2127,148,0,"cool",0
"149",148,"den","gdoc",2092,149,1,"of",0
"150",149,"féidir","mm",2064,150,0,"possible",0
"151",150,"mhaith","gdoc",2039,151,0,"good",0
"152",151,"nuair","mm",2022,152,0,"when",0
"153",152,"laois","mm",2021,153,0,"Laos",0
"154",153,"acu","gdoc",2018,154,0,"them",0
"155",154,"m","mm",1978,155,1,"m",1
"156",155,"v","mm",1964,156,1,"v",1
"157",156,"thabhairt","gdoc",1955,157,0,"give",0
"158",157,"gach","mm",1943,158,0,"all",0
"159",158,"portlaoise","cm",1937,159,0,"portlaoise",1
"160",159,"obair","mm",1924,160,0,"work",0
"161",160,"luas","mm",1880,161,0,"speed",0
"162",161,"roinn","mm",1835,162,0,"department",0
"163",162,"teach","mm",1822,163,1,"house",0
"164",163,"clinic","mm",1805,164,1,"clinic",1
"165",164,"móna","gdoc",1805,165,0,"peat",0
"166",165,"anseo","mm",1794,166,0,"here",0
"167",166,"rá","mm",1776,167,0,"say",0
"168",167,"cheap","gdoc",1776,168,1,"thought",0
"169",168,"tom","mm",1743,169,1,"tom",1
"170",169,"nua","mm",1739,170,0,"new",0
"171",170,"isteach","mm",1716,171,0,"in",0
"172",171,"chomh","mm",1697,172,0,"so",0
"173",172,"caoláin","cm",1694,173,0,"intestines",0
"174",173,"gceist","gdoc",1683,174,0,"question",0
"175",174,"thaobh","gdoc",1673,175,0,"side",0
"176",175,"mó","mm",1646,176,0,"more",0
"177",176,"beidh","gdoc",1645,177,0,"there will be",0
"178",177,"anois","mm",1637,178,0,"now",0
"179",178,"san","mm",1631,179,0,"in the",0
"180",179,"file","mm",1619,180,1,"poet",0
"181",180,"údarás","mm",1612,181,0,"authority",0
"182",181,"mór","mm",1598,182,0,"big",0
"183",182,"gáis","cm",1554,183,0,"gas",0
"184",183,"buíochas","mm",1541,184,0,"thanks",0
"185",184,"uisce","mm",1538,185,0,"water",0
"186",185,"suite","mm",1518,186,1,"located",0
"187",186,"cast","mm",1495,187,1,"cast",1
"188",187,"dual","mm",1485,188,1,"twin",0
"189",188,"duine","mm",1479,189,0,"person",0
"190",189,"cur","mm",1472,190,1,"planting",0
"191",190,"ghaeltacht","gdoc",1466,191,0,"Gaeltachta",0
"192",191,"dá","mm",1435,192,0,"two",0
"193",192,"ón","gdoc",1435,193,0,"from the",0
"194",193,"gabhaim","cm",1433,194,0,"I take",0
"195",194,"aghaidh","mm",1416,195,0,"face",0
"196",195,"dtí","gdoc",1414,196,0,"until",0
"197",196,"iad","mm",1412,197,0,"them",0
"198",197,"faoin","gdoc",1401,198,0,"under",0
"199",198,"roimh","mm",1356,199,0,"before",0
"200",199,"muid","mm",1351,200,0,"we",0
"201",200,"ad","mm",1329,201,1,"ad",1
"202",201,"d","mm",1316,202,1,"d",1
"203",202,"labhairt","mm",1308,203,0,"speak",0
"204",203,"cinn","mm",1300,204,0,"ones",0
"205",204,"teagasc","mm",1285,205,0,"teaching",0
"206",205,"toll","mm",1280,206,1,"hole",0
"207",206,"trí","mm",1271,207,0,"three",0
"208",207,"linn","mm",1259,208,0,"pool",0
"209",208,"scoil","mm",1253,209,0,"school",0
"210",209,"tíre","gdoc",1243,210,0,"country",0
"211",210,"glas","mm",1243,211,0,"green",0
"212",211,"eoghan","gdoc",1242,212,0,"eow",0
"213",212,"script","mm",1230,213,1,"script",1
"214",213,"dúirt","gdoc",1223,214,0,"said",0
"215",214,"déanta","mm",1221,215,0,"done",0
"216",215,"bliain","mm",1218,216,0,"year",0
"217",216,"héireann","gdoc",1211,217,0,"Ireland",0
"218",217,"ball","mm",1206,218,1,"member",0
"219",218,"fhios","gdoc",1192,219,0,"know",0
"220",219,"teacht","mm",1178,220,0,"come",0
"221",220,"tús","mm",1174,221,0,"beginning",0
"222",221,"chuid","gdoc",1141,222,0,"part",0
"223",222,"pobal","mm",1139,223,0,"community",0
"224",223,"déanamh","mm",1134,224,0,"doing",0
"225",224,"bheidh","gdoc",1129,225,0,"will be",0
"226",225,"í","mm",1129,226,0,"her",0
"227",226,"dála","mm",1122,227,0,"like",0
"228",227,"ha","mm",1107,228,1,"ha",1
"229",228,"freisin","mm",1103,229,0,"also",0
"230",229,"amháin","mm",1102,230,0,"only",0
"231",230,"dara","mm",1101,231,0,"second",0
"232",231,"bille","mm",1097,232,0,"bill",0
"233",232,"chóir","mm",1092,233,0,"right",0
"234",233,"cheist","gdoc",1092,234,0,"question",0
"235",234,"gan","mm",1088,235,0,"without",0
"236",235,"art","mm",1083,236,1,"art",1
"237",236,"ár","mm",1073,237,0,"our",0
"238",237,"tábhachtach","mm",1073,238,0,"important",0
"239",238,"láthair","mm",1070,239,0,"present",0
"240",239,"méid","mm",1065,240,0,"size",0
"241",240,"os","mm",1061,241,0,"before",0
"242",241,"chéile","gdoc",1054,242,0,"each other",0
"243",242,"leor","mm",1052,243,0,"enough",0
"244",243,"tír","mm",1050,244,0,"country",0
"245",244,"inniu","mm",1045,245,0,"today",0
"246",245,"aige","gdoc",1044,246,0,"him/her",0
"247",246,"tóibín","cm",1041,247,0,"tobina",0
"248",247,"mac","mm",1039,248,1,"son",0
"249",248,"thar","mm",1031,249,0,"over",0
"250",249,"bog","mm",1030,250,1,"soft",0
"251",250,"clár","mm",1025,251,0,"program",0
"252",251,"má","mm",1013,252,0,"if",0
"253",252,"sean","mm",1012,253,0,"old",0
"254",253,"jack","gdoc",1009,254,1,"jack",1
"255",254,"breath","mm",1008,255,1,"breath",1
"256",255,"poll","mm",995,256,1,"hole",0
"257",256,"bia","mm",990,257,0,"food",0
"258",257,"teachtaí","cm",988,258,0,"deputies",0
"259",258,"cheart","gdoc",981,259,0,"right",0
"260",259,"tar","mm",970,260,1,"come",0
"261",260,"iarraidh","mm",969,261,0,"request",0
"262",261,"dream","mm",967,262,1,"group",0
"263",262,"lá","mm",963,263,0,"day",0
"264",263,"arm","mm",949,264,1,"army",0
"265",264,"orm","gdoc",936,265,0,"on me",0
"266",265,"súil","mm",934,266,0,"hope",0
"267",266,"agat","gdoc",932,267,0,"you",0
"268",267,"arís","mm",930,268,0,"again",0
"269",268,"rialtais","gdoc",927,269,0,"government",0
"270",269,"fad","mm",918,270,1,"length",0
"271",270,"cén","gdoc",917,271,0,"what",0
"272",271,"dúinn","gdoc",907,272,0,"for us",0
"273",272,"iarnród","mm",905,273,0,"railway",0
"274",273,"idir","mm",897,274,0,"between",0
"275",274,"táimid","gdoc",892,275,0,"we are",0
"276",275,"sásta","mm",890,276,0,"happy",0
"277",276,"háirithe","cm",885,277,0,"especially",0
"278",277,"bhfeidhm","gdoc",884,278,0,"function",0
"279",278,"solas","mm",878,279,0,"light",0
"280",279,"léir","mm",878,280,0,"all",0
"281",280,"leith","mm",875,281,0,"respect",0
"282",281,"ceist","mm",865,282,0,"question",0
"283",282,"díospóireacht","mm",857,283,0,"debate",0
"284",283,"dóibh","gdoc",852,284,0,"for them",0
"285",284,"éis","mm",851,285,0,"after",0
"286",285,"bhille","cm",841,286,0,"bill",0
"287",286,"cé","mm",841,287,0,"who",0
"288",287,"ceart","mm",835,288,0,"right",0
"289",288,"bríd","gdoc",830,289,0,"bride",0
"290",289,"ngaeilge","gdoc",814,290,0,"Irish",0
"291",290,"calm","mm",810,291,1,"calm",1
"292",291,"fháil","gdoc",809,292,0,"get",0
"293",292,"deireadh","mm",807,293,0,"end",0
"294",293,"táim","gdoc",806,294,0,"I am",0
"295",294,"smear","mm",801,295,1,"smear",1
"296",295,"liam","mm",797,296,0,"liam",1
"297",296,"cinnte","mm",796,297,0,"sure",0
"298",297,"bhliain","gdoc",793,298,0,"year",0
"299",298,"bith","mm",785,299,0,"no",0
"300",299,"chéad","gdoc",782,300,0,"first",0
"301",300,"reachtaíocht","mm",775,301,0,"legislation",0
"302",301,"rudaí","gdoc",773,302,0,"things",0
"303",302,"sí","mm",766,303,0,"she",0
"304",303,"siúd","mm",764,304,0,"those",0
"305",304,"coimisiún","mm",763,305,0,"commission",0
"306",305,"ábhar","mm",753,306,0,"subject",0
"307",306,"straitéis","mm",750,307,0,"strategy",0
"308",307,"gá","mm",749,308,0,"need",0
"309",308,"roinnt","mm",748,309,0,"some",0
"310",309,"gheall","gdoc",742,310,0,"promised",0
"311",310,"oibre","gdoc",741,311,0,"work",0
"312",311,"orthu","gdoc",737,312,0,"on them",0
"313",312,"bliana","gdoc",726,313,0,"year",0
"314",313,"curtha","gdoc",720,314,0,"buried",0
"315",314,"cúrsaí","gdoc",717,315,0,"courses",0
"316",315,"cúpla","mm",712,316,0,"couple",0
"317",316,"rang","mm",706,317,1,"class",0
"318",317,"caint","mm",705,318,0,"speech",0
"319",318,"bheadh","gdoc",687,319,0,"would",0
"320",319,"anuas","mm",685,320,0,"down",0
"321",320,"uair","mm",682,321,0,"once",0
"322",321,"síos","mm",679,322,0,"down",0
"323",322,"chuir","gdoc",673,323,0,"sent",0
"324",323,"acht","mm",673,324,0,"act",0
"325",324,"tacaíocht","mm",672,325,0,"support",0
"326",325,"ansin","mm",672,326,0,"then",0
"327",326,"áit","mm",671,327,0,"place",0
"328",327,"úsáid","mm",670,328,0,"use",0
"329",328,"muintir","mm",669,329,0,"people",0
"330",329,"seirbhísí","gdoc",667,330,0,"services",0
"331",330,"leas","mm",660,331,1,"interest",0
"332",331,"re","mm",660,332,1,"next",0
"333",332,"céanna","mm",659,333,0,"same",0
"334",333,"déileáil","mm",658,334,0,"deal",0
"335",334,"scoileanna","gdoc",657,335,0,"schools",0
"336",335,"leasú","mm",654,336,0,"amendment",0
"337",336,"milliún","mm",654,337,0,"million",0
"338",337,"cad","mm",653,338,1,"what",0
"339",338,"ríordáin","cm",648,339,0,"royal decrees",0
"340",339,"taobh","mm",644,340,0,"side",0
"341",340,"inis","mm",637,341,0,"tell",0
"342",341,"fáth","mm",636,342,0,"reason",0
"343",342,"pádraig","gdoc",634,343,0,"Patrick",0
"344",343,"dhaoine","gdoc",633,344,0,"people",0
"345",344,"dom","gdoc",630,345,0,"for me",0
"346",345,"scéim","mm",629,346,0,"scheme",0
"347",346,"colm","mm",620,347,0,"pigeon",0
"348",347,"caithfidh","gdoc",615,348,0,"must",0
"349",348,"fud","mm",612,349,0,"throughout",0
"350",349,"ama","gdoc",604,350,0,"time",0
"351",350,"stát","mm",603,351,0,"state",0
"352",351,"rún","mm",601,352,0,"secret",0
"353",352,"fáil-led","cm",601,353,0,"led-light",0
"354",353,"shin","gdoc",601,354,1,"yes",0
"355",354,"oideachais","gdoc",600,355,0,"educational",0
"356",355,"mbliana","gdoc",596,356,0,"year",0
"357",356,"réir","mm",582,357,0,"according to",0
"358",357,"radar","mm",581,358,1,"radar",1
"359",358,"fós","mm",581,359,0,"still",0
"360",359,"rinne","gdoc",578,360,0,"did",0
"361",360,"ais","mm",577,361,0,"back",0
"362",361,"airgead","mm",575,362,0,"money",0
"363",362,"blianta","gdoc",574,363,0,"years",0
"364",363,"hea","gdoc",574,364,0,"yes",0
"365",364,"cathaoirleach","mm",568,365,0,"chairman",0
"366",365,"gcuid","gdoc",567,366,0,"part",0
"367",366,"seas","mm",565,367,1,"stand",0
"368",367,"dé","mm",562,368,0,"two",0
"369",368,"comhair","mm",559,369,0,"cooperation",0
"370",369,"lán","mm",559,370,0,"full",0
"371",370,"phobal","gdoc",559,371,0,"community",0
"372",371,"murchú","cm",558,372,0,"murphy",0
"373",372,"lena","gdoc",557,373,0,"with him",0
"374",373,"fiú","mm",555,374,0,"even",0
"375",374,"mí","mm",554,375,0,"month",0
"376",375,"taisce","mm",553,376,0,"deposit",0
"377",376,"focal","mm",550,377,1,"word",0
"378",377,"bhfad","gdoc",549,378,0,"far",0
"379",378,"tháinig","gdoc",548,379,0,"came",0
"380",379,"fada","mm",544,380,0,"long",0
"381",380,"chuig","mm",543,381,0,"to",0
"382",381,"bob","mm",542,382,1,"bob",1
"383",382,"dhá","gdoc",532,383,0,"two",0
"384",383,"athrú","mm",529,384,0,"change",0
"385",384,"bhaineann","gdoc",529,385,0,"related",0
"386",385,"thug","gdoc",528,386,1,"gave",0
"387",386,"ucht","mm",526,387,0,"breast",0
"388",387,"plé","mm",520,388,0,"discussion",0
"389",388,"tabhairt","mm",518,389,0,"giving",0
"390",389,"croí","mm",517,390,0,"heart",0
"391",390,"lucht","mm",515,391,0,"people",0
"392",391,"dear","mm",514,392,1,"dear",1
"393",392,"mhór","gdoc",511,393,0,"big",0
"394",393,"taoisigh","cm",509,394,0,"chieftains",0
"395",394,"caite","mm",506,395,0,"worn",0
"396",395,"breise","gdoc",504,396,0,"additional",0
"397",396,"plean","mm",503,397,0,"plan",0
"398",397,"siúl","mm",502,398,0,"walk",0
"399",398,"cuid","mm",492,399,0,"part",0
"400",399,"phlé","gdoc",486,400,0,"discussion",0
"401",400,"cónaithe","gdoc",485,401,0,"residence",0
"402",401,"ceisteanna","gdoc",475,402,0,"questions",0
"403",402,"iomlán","mm",470,403,0,"total",0
"404",403,"níor","mm",470,404,0,"no",0
"405",404,"ghabháil","gdoc",468,405,0,"catch",0
"406",405,"tithíochta","cm",468,406,0,"housing",0
"407",406,"hoileáin","cm",463,407,0,"islands",0
"408",407,"meán","mm",460,408,0,"average",0
"409",408,"laois-offaly","cm",459,409,0,"Laois-Offaly",0
"410",409,"poiblí","mm",459,410,0,"public",0
"411",410,"cheana","mm",458,411,0,"already",0
"412",411,"cab","mm",455,412,1,"cab",1
"413",412,"sláinte","mm",455,413,0,"health",0
"414",413,"gcónaí","gdoc",451,414,0,"always",0
"415",414,"cath","mm",449,415,0,"battle",0
"416",415,"mhuintir","gdoc",448,416,0,"people",0
"417",416,"fearr","gdoc",444,417,0,"better",0
"418",417,"ruairí","mm",444,418,0,"hairy",0
"419",418,"scéal","mm",443,419,0,"story",0
"420",419,"choiste","gdoc",442,420,0,"committee",0
"421",420,"pobail","gdoc",442,421,0,"community",0
"422",421,"phobail","gdoc",439,422,0,"community",0
"423",422,"airgid","gdoc",439,423,0,"silver",0
"424",423,"gcomhair","gdoc",435,424,0,"together",0
"425",424,"coláiste","mm",435,425,0,"college",0
"426",425,"dtús","gdoc",434,426,0,"first",0
"427",426,"éagsúla","gdoc",433,427,0,"various",0
"428",427,"forfás","cm",433,428,0,"growth",0
"429",428,"éamon","cm",429,429,0,"eamon",0
"430",429,"fadhbanna","gdoc",429,430,0,"problems",0
"431",430,"niamh","cm",426,431,0,"good",0
"432",431,"fórsa","mm",424,432,0,"force",0
"433",432,"aontú","cm",423,433,0,"agree",0
"434",433,"ciarán","cm",420,434,0,"ciaran",0
"435",434,"brú","mm",419,435,0,"pressure",0
"436",435,"baint","mm",416,436,0,"removal",0
"437",436,"iontach","mm",416,437,0,"wonderful",0
"438",437,"soiléir","mm",414,438,0,"clear",0
"439",438,"cinneadh","mm",408,439,0,"decision",0
"440",439,"cuireadh","mm",407,440,0,"invitation",0
"441",440,"seans","mm",407,441,0,"chance",0
"442",441,"ráite","gdoc",404,442,0,"said",0
"443",442,"shampla","gdoc",404,443,0,"example",0
"444",443,"um","mm",404,444,1,"about",0
"445",444,"náisiúnta","mm",404,445,0,"national",0
"446",445,"ardú","mm",404,446,0,"rise",0
"447",446,"nod","mm",402,447,1,"nod",1
"448",447,"foras","mm",402,448,0,"institution",0
"449",448,"dheis","gdoc",402,449,0,"right",0
"450",449,"tríd","gdoc",400,450,0,"through",0
"451",450,"bhaint","gdoc",400,451,0,"remove",0
"452",451,"bunreacht","mm",397,452,0,"constitution",0
"453",452,"lorg","mm",397,453,0,"look for",0
"454",453,"córas","mm",397,454,0,"system",0
"455",454,"scan","mm",395,455,1,"scan",1
"456",455,"bíonn","gdoc",395,456,0,"there is",0
"457",456,"tuigim","gdoc",393,457,0,"I understand",0
"458",457,"cian","mm",393,458,0,"distance",0
"459",458,"ceantair","gdoc",391,459,0,"areas",0
"460",459,"lag","mm",390,460,1,"weak",0
"461",460,"séamus","gdoc",389,461,0,"James",0
"462",461,"suas","mm",388,462,0,"up",0
"463",462,"bharr","gdoc",387,463,0,"top",0
"464",463,"mise","mm",387,464,1,"me",0
"465",464,"ról","mm",386,465,0,"role",0
"466",465,"con","mm",384,466,1,"greyhound",0
"467",466,"toisc","mm",383,467,0,"because",0
"468",467,"eoin","mm",382,468,0,"eons",0
"469",468,"fan","mm",381,469,1,"wait",0
"470",469,"ndóigh","gdoc",381,470,0,"of course",0
"471",470,"freagra","mm",379,471,0,"answer",0
"472",471,"bun","mm",376,472,1,"bottom",0
"473",472,"aontaím","cm",375,473,0,"I agree",0
"474",473,"cat","mm",374,474,1,"cat",1
"475",474,"tuarascáil","mm",373,475,0,"report",0
"476",475,"leibhéal","mm",368,476,0,"level",0
"477",476,"measc","mm",368,477,0,"among",0
"478",477,"tacú","gdoc",367,478,0,"support",0
"479",478,"saolta","mm",367,479,0,"worldly",0
"480",479,"taoiseach’s","cm",367,480,0,"leader's",0
"481",480,"moltaí","gdoc",365,481,0,"recommendations",0
"482",481,"tithe","gdoc",365,482,1,"houses",0
"483",482,"maoiniú","cm",365,483,0,"funding",0
"484",483,"átha","gdoc",364,484,0,"good luck",0
"485",484,"leithéid","mm",363,485,0,"such",0
"486",485,"díriú","cm",363,486,0,"concentrate",0
"487",486,"dó","mm",362,487,0,"for him",0
"488",487,"orainn","gdoc",362,488,0,"on us",0
"489",488,"roimhe","gdoc",362,489,0,"before",0
"490",489,"tharla","gdoc",361,490,0,"happened",0
"491",490,"fanacht","mm",360,491,0,"wait",0
"492",491,"ard-fheis","mm",359,492,0,"advanced",0
"493",492,"anam","mm",359,493,0,"soul",0
"494",493,"glacadh","mm",357,494,0,"acceptance",0
"495",494,"beach","mm",357,495,1,"bee",0
"496",495,"teaghlaigh","gdoc",357,496,0,"family",0
"497",496,"seachas","mm",356,497,0,"except",0
"498",497,"roinne","gdoc",355,498,0,"department",0
"499",498,"athbhreithniú","mm",354,499,0,"review",0
"500",499,"bhfuilimid","cm",353,500,0,"we are",0
"501",500,"óga","gdoc",353,501,0,"young",0
"502",501,"chúrsaí","gdoc",352,502,0,"courses",0
"503",502,"éigin","mm",351,503,0,"some",0
"504",503,"más","mm",351,504,0,"if",0
"505",504,"iarracht","mm",351,505,0,"attempt",0
"506",505,"uí","mm",351,506,0,"you",0
"507",506,"timpeall","mm",350,507,0,"around",0
"508",507,"mart","mm",349,508,1,"cow",0
"509",508,"chinntiú","gdoc",349,509,0,"ensure",0
"510",509,"bhíonn","gdoc",347,510,0,"yes",0
"511",510,"cobh","cm",344,511,0,"how much",0
"512",511,"conradh","mm",343,512,0,"contract",0
"513",512,"meáin","gdoc",340,513,0,"media",0
"514",513,"míle","mm",337,514,0,"thousand",0
"515",514,"fearghaíl","cm",336,515,0,"friend",0
"516",515,"dtaobh","gdoc",336,516,0,"about",0
"517",516,"díreach","mm",335,517,0,"just",0
"518",517,"éisteacht","mm",333,518,0,"listening",0
"519",518,"chuige","gdoc",332,519,0,"to him",0
"520",519,"seachtain","mm",329,520,0,"week",0
"521",520,"uile","mm",329,521,0,"all",0
"522",521,"amuigh","mm",329,522,0,"outside",0
"523",522,"líon","mm",328,523,0,"number",0
"524",523,"gcon","cm",328,524,0,"greyhound",0
"525",524,"uilig","gdoc",327,525,0,"all",0
"526",525,"teastáil","cm",327,526,0,"needed",0
"527",526,"tarlú","mm",326,527,0,"happen",0
"528",527,"coiste","mm",325,528,0,"committee",0
"529",528,"minic","mm",324,529,0,"often",0
"530",529,"mhuire","gdoc",323,530,0,"maritime",0
"531",530,"bloc","mm",321,531,1,"block",0
"532",531,"áthas","mm",320,532,0,"joy",0
"533",532,"oifig","mm",319,533,0,"office",0
"534",533,"cliath","mm",318,534,0,"fence",0
"535",534,"toghcháin","gdoc",317,535,0,"elections",0
"536",535,"nár","mm",317,536,0,"not",0
"537",536,"an-tábhachtach","cm",316,537,0,"very important",0
"538",537,"gaeltachtaí","cm",316,538,0,"Gaeltachts",0
"539",538,"tí","mm",315,539,0,"house",0
"540",539,"comhghairdeas","mm",312,540,0,"congratulations",0
"541",540,"tseirbhís","gdoc",311,541,0,"service",0
"542",541,"saol","mm",311,542,0,"life",0
"543",542,"lean","mm",310,543,1,"follow",0
"544",543,"siar","mm",309,544,0,"west",0
