"word","source","corpusfreq","corpusrank","english"
"teach","mm",1822,163,1
"clinic","mm",1805,164,1
"móna","gdoc",1805,165,0
"anseo","mm",1794,166,0
"rá","mm",1776,167,0
"cheap","gdoc",1776,168,1
"tom","mm",1743,169,1
"nua","mm",1739,170,0
"isteach","mm",1716,171,0
"chomh","mm",1697,172,0
"caoláin","cm",1694,173,0
"gceist","gdoc",1683,174,0
"thaobh","gdoc",1673,175,0
"mó","mm",1646,176,0
"beidh","gdoc",1645,177,0
"anois","mm",1637,178,0
"san","mm",1631,179,0
"file","mm",1619,180,1
"údarás","mm",1612,181,0
"mór","mm",1598,182,0
"gáis","cm",1554,183,0
"buíochas","mm",1541,184,0
"uisce","mm",1538,185,0
"suite","mm",1518,186,1
"cast","mm",1495,187,1
"dual","mm",1485,188,1
"duine","mm",1479,189,0
"cur","mm",1472,190,1
"ghaeltacht","gdoc",1466,191,0
"dá","mm",1435,192,0
"ón","gdoc",1435,193,0
"gabhaim","cm",1433,194,0
"aghaidh","mm",1416,195,0
"dtí","gdoc",1414,196,0
"iad","mm",1412,197,0
"faoin","gdoc",1401,198,0
"roimh","mm",1356,199,0
"muid","mm",1351,200,0
"ad","mm",1329,201,1
"d","mm",1316,202,1
"labhairt","mm",1308,203,0
"cinn","mm",1300,204,0
"teagasc","mm",1285,205,0
"toll","mm",1280,206,1
"trí","mm",1271,207,0
"linn","mm",1259,208,0
"scoil","mm",1253,209,0
"tíre","gdoc",1243,210,0
"glas","mm",1243,211,0
"eoghan","gdoc",1242,212,0
"script","mm",1230,213,1
"dúirt","gdoc",1223,214,0
"déanta","mm",1221,215,0
"bliain","mm",1218,216,0
"héireann","gdoc",1211,217,0
"ball","mm",1206,218,1
"fhios","gdoc",1192,219,0
"teacht","mm",1178,220,0
"tús","mm",1174,221,0
"chuid","gdoc",1141,222,0
"pobal","mm",1139,223,0
"déanamh","mm",1134,224,0
"bheidh","gdoc",1129,225,0
"í","mm",1129,226,0
"dála","mm",1122,227,0
"ha","mm",1107,228,1
"freisin","mm",1103,229,0
"amháin","mm",1102,230,0
"dara","mm",1101,231,0
"bille","mm",1097,232,0
"chóir","mm",1092,233,0
"cheist","gdoc",1092,234,0
"gan","mm",1088,235,0
"art","mm",1083,236,1
"ár","mm",1073,237,0
"tábhachtach","mm",1073,238,0
"láthair","mm",1070,239,0
"méid","mm",1065,240,0
"os","mm",1061,241,0
"chéile","gdoc",1054,242,0
"leor","mm",1052,243,0
"tír","mm",1050,244,0
"inniu","mm",1045,245,0
"aige","gdoc",1044,246,0
"tóibín","cm",1041,247,0
"mac","mm",1039,248,1
"thar","mm",1031,249,0
"bog","mm",1030,250,1
"clár","mm",1025,251,0
"má","mm",1013,252,0
"sean","mm",1012,253,0
"jack","gdoc",1009,254,1
"breath","mm",1008,255,1
"poll","mm",995,256,1
"bia","mm",990,257,0
"teachtaí","cm",988,258,0
"cheart","gdoc",981,259,0
"tar","mm",970,260,1
"iarraidh","mm",969,261,0
"dream","mm",967,262,1
"lá","mm",963,263,0
"arm","mm",949,264,1
"orm","gdoc",936,265,0
"súil","mm",934,266,0
"agat","gdoc",932,267,0
"arís","mm",930,268,0
"rialtais","gdoc",927,269,0
"fad","mm",918,270,1
"cén","gdoc",917,271,0
"dúinn","gdoc",907,272,0
"iarnród","mm",905,273,0
"idir","mm",897,274,0
"táimid","gdoc",892,275,0
"sásta","mm",890,276,0
"háirithe","cm",885,277,0
"bhfeidhm","gdoc",884,278,0
"solas","mm",878,279,0
"léir","mm",878,280,0
"leith","mm",875,281,0
"ceist","mm",865,282,0
"díospóireacht","mm",857,283,0
"dóibh","gdoc",852,284,0
"éis","mm",851,285,0
"bhille","cm",841,286,0
"cé","mm",841,287,0
"ceart","mm",835,288,0
"bríd","gdoc",830,289,0
"ngaeilge","gdoc",814,290,0
"calm","mm",810,291,1
"fháil","gdoc",809,292,0
"deireadh","mm",807,293,0
"táim","gdoc",806,294,0
"smear","mm",801,295,1
"liam","mm",797,296,0
"cinnte","mm",796,297,0
"bhliain","gdoc",793,298,0
"bith","mm",785,299,0
"chéad","gdoc",782,300,0
"reachtaíocht","mm",775,301,0
"rudaí","gdoc",773,302,0
"sí","mm",766,303,0
"siúd","mm",764,304,0
"coimisiún","mm",763,305,0
"ábhar","mm",753,306,0
"straitéis","mm",750,307,0
"gá","mm",749,308,0
"roinnt","mm",748,309,0
"gheall","gdoc",742,310,0
"oibre","gdoc",741,311,0
"orthu","gdoc",737,312,0
"bliana","gdoc",726,313,0
"curtha","gdoc",720,314,0
"cúrsaí","gdoc",717,315,0
"cúpla","mm",712,316,0
"rang","mm",706,317,1
"caint","mm",705,318,0
"bheadh","gdoc",687,319,0
"anuas","mm",685,320,0
"uair","mm",682,321,0
"síos","mm",679,322,0
"chuir","gdoc",673,323,0
"acht","mm",673,324,0
"tacaíocht","mm",672,325,0
"ansin","mm",672,326,0
"áit","mm",671,327,0
"úsáid","mm",670,328,0
"muintir","mm",669,329,0
"seirbhísí","gdoc",667,330,0
"leas","mm",660,331,1
"re","mm",660,332,1
"céanna","mm",659,333,0
"déileáil","mm",658,334,0
"scoileanna","gdoc",657,335,0
"leasú","mm",654,336,0
"milliún","mm",654,337,0
"cad","mm",653,338,1
"ríordáin","cm",648,339,0
"taobh","mm",644,340,0
"inis","mm",637,341,0
"fáth","mm",636,342,0
"pádraig","gdoc",634,343,0
"dhaoine","gdoc",633,344,0
"dom","gdoc",630,345,0
"scéim","mm",629,346,0
"colm","mm",620,347,0
"caithfidh","gdoc",615,348,0
"fud","mm",612,349,0
"ama","gdoc",604,350,0
"stát","mm",603,351,0
"rún","mm",601,352,0
"fáil-led","cm",601,353,0
"shin","gdoc",601,354,1
"oideachais","gdoc",600,355,0
"mbliana","gdoc",596,356,0
"réir","mm",582,357,0
"radar","mm",581,358,1
"fós","mm",581,359,0
"rinne","gdoc",578,360,0
"ais","mm",577,361,0
"airgead","mm",575,362,0
"blianta","gdoc",574,363,0
"hea","gdoc",574,364,0
"cathaoirleach","mm",568,365,0
"gcuid","gdoc",567,366,0
"seas","mm",565,367,1
"dé","mm",562,368,0
"comhair","mm",559,369,0
"lán","mm",559,370,0
"phobal","gdoc",559,371,0
"murchú","cm",558,372,0
"lena","gdoc",557,373,0
"fiú","mm",555,374,0
"mí","mm",554,375,0
"taisce","mm",553,376,0
"focal","mm",550,377,1
"bhfad","gdoc",549,378,0
"tháinig","gdoc",548,379,0
"fada","mm",544,380,0
"chuig","mm",543,381,0
"bob","mm",542,382,1
"dhá","gdoc",532,383,0
"athrú","mm",529,384,0
"bhaineann","gdoc",529,385,0
"thug","gdoc",528,386,1
"ucht","mm",526,387,0
"plé","mm",520,388,0
"tabhairt","mm",518,389,0
"croí","mm",517,390,0
"lucht","mm",515,391,0
"dear","mm",514,392,1
"mhór","gdoc",511,393,0
"taoisigh","cm",509,394,0
"caite","mm",506,395,0
"breise","gdoc",504,396,0
"plean","mm",503,397,0
"siúl","mm",502,398,0
"cuid","mm",492,399,0
"phlé","gdoc",486,400,0
"cónaithe","gdoc",485,401,0
"ceisteanna","gdoc",475,402,0
"iomlán","mm",470,403,0
"níor","mm",470,404,0
"ghabháil","gdoc",468,405,0
"tithíochta","cm",468,406,0
"hoileáin","cm",463,407,0
"meán","mm",460,408,0
"laois-offaly","cm",459,409,0
"poiblí","mm",459,410,0
"cheana","mm",458,411,0
"cab","mm",455,412,1
"sláinte","mm",455,413,0
"gcónaí","gdoc",451,414,0
"cath","mm",449,415,0
"mhuintir","gdoc",448,416,0
"fearr","gdoc",444,417,0
"ruairí","mm",444,418,0
"scéal","mm",443,419,0
"choiste","gdoc",442,420,0
"pobail","gdoc",442,421,0
"phobail","gdoc",439,422,0
"airgid","gdoc",439,423,0
"gcomhair","gdoc",435,424,0
"coláiste","mm",435,425,0
"dtús","gdoc",434,426,0
"éagsúla","gdoc",433,427,0
"forfás","cm",433,428,0
"éamon","cm",429,429,0
"fadhbanna","gdoc",429,430,0
"niamh","cm",426,431,0
"fórsa","mm",424,432,0
"aontú","cm",423,433,0
"ciarán","cm",420,434,0
"brú","mm",419,435,0
"baint","mm",416,436,0
"iontach","mm",416,437,0
"soiléir","mm",414,438,0
"cinneadh","mm",408,439,0
"cuireadh","mm",407,440,0
"seans","mm",407,441,0
"ráite","gdoc",404,442,0
"shampla","gdoc",404,443,0
"um","mm",404,444,1
"náisiúnta","mm",404,445,0
"ardú","mm",404,446,0
"nod","mm",402,447,1
"foras","mm",402,448,0
"dheis","gdoc",402,449,0
"tríd","gdoc",400,450,0
"bhaint","gdoc",400,451,0
"bunreacht","mm",397,452,0
"lorg","mm",397,453,0
"córas","mm",397,454,0
"scan","mm",395,455,1
"bíonn","gdoc",395,456,0
"tuigim","gdoc",393,457,0
"cian","mm",393,458,0
"ceantair","gdoc",391,459,0
"lag","mm",390,460,1
"séamus","gdoc",389,461,0
"suas","mm",388,462,0
"bharr","gdoc",387,463,0
"mise","mm",387,464,1
"ról","mm",386,465,0
"con","mm",384,466,1
"toisc","mm",383,467,0
"eoin","mm",382,468,0
"fan","mm",381,469,1
"ndóigh","gdoc",381,470,0
"freagra","mm",379,471,0
"bun","mm",376,472,1
"aontaím","cm",375,473,0
"cat","mm",374,474,1
"tuarascáil","mm",373,475,0
"leibhéal","mm",368,476,0
"measc","mm",368,477,0
"tacú","gdoc",367,478,0
"saolta","mm",367,479,0
"taoiseach’s","cm",367,480,0
"moltaí","gdoc",365,481,0
"tithe","gdoc",365,482,1
"maoiniú","cm",365,483,0
"átha","gdoc",364,484,0
"leithéid","mm",363,485,0
"díriú","cm",363,486,0
"dó","mm",362,487,0
"orainn","gdoc",362,488,0
"roimhe","gdoc",362,489,0
"tharla","gdoc",361,490,0
"fanacht","mm",360,491,0
"ard-fheis","mm",359,492,0
"anam","mm",359,493,0
"glacadh","mm",357,494,0
"beach","mm",357,495,1
"teaghlaigh","gdoc",357,496,0
"seachas","mm",356,497,0
"roinne","gdoc",355,498,0
"athbhreithniú","mm",354,499,0
"bhfuilimid","cm",353,500,0
"óga","gdoc",353,501,0
"chúrsaí","gdoc",352,502,0
"éigin","mm",351,503,0
"más","mm",351,504,0
"iarracht","mm",351,505,0
"uí","mm",351,506,0
"timpeall","mm",350,507,0
"mart","mm",349,508,1
"chinntiú","gdoc",349,509,0
"bhíonn","gdoc",347,510,0
"cobh","cm",344,511,0
"conradh","mm",343,512,0
"meáin","gdoc",340,513,0
"míle","mm",337,514,0
"fearghaíl","cm",336,515,0
"dtaobh","gdoc",336,516,0
"díreach","mm",335,517,0
"éisteacht","mm",333,518,0
"chuige","gdoc",332,519,0
"seachtain","mm",329,520,0
"uile","mm",329,521,0
"amuigh","mm",329,522,0
"líon","mm",328,523,0
"gcon","cm",328,524,0
"uilig","gdoc",327,525,0
"teastáil","cm",327,526,0
"tarlú","mm",326,527,0
"coiste","mm",325,528,0
"minic","mm",324,529,0
"mhuire","gdoc",323,530,0
"bloc","mm",321,531,1
"áthas","mm",320,532,0
"oifig","mm",319,533,0
"cliath","mm",318,534,0
"toghcháin","gdoc",317,535,0
"nár","mm",317,536,0
"an-tábhachtach","cm",316,537,0
"gaeltachtaí","cm",316,538,0
"tí","mm",315,539,0
"comhghairdeas","mm",312,540,0
"tseirbhís","gdoc",311,541,0
"saol","mm",311,542,0
"lean","mm",310,543,1
"siar","mm",309,544,0
"hiomlán","gdoc",309,545,0
"trua","mm",308,546,0
"pill","mm",308,547,1
"fhadhb","gdoc",308,548,0
"chóras","gdoc",307,549,0
"oifigiúla","cm",306,550,0
"chugainn","gdoc",306,551,0
"haghaidh","gdoc",306,552,0
"chuile","gdoc",306,553,0
"contae","mm",306,554,0
"comhlachtaí","gdoc",305,555,0
"eolas","mm",303,556,0
"féachaint","mm",303,557,0
"moladh","mm",303,558,0
"tseachtain","gdoc",302,559,0
"dóigh","mm",302,560,0
"áireamh","mm",301,561,0
"tosaigh","mm",301,562,0
"mhí","gdoc",300,563,0
"cruinniú","mm",300,564,0
"cosúil","mm",299,565,0
"rith","mm",299,566,0
"seirbhís","mm",298,567,0
"réiteach","mm",297,568,0
"aitheantas","mm",296,569,0
"easpa","mm",296,570,0
"bhuíochas","cm",295,571,0
"róisín","cm",295,572,0
"turas","mm",295,573,0
"romhainn","gdoc",294,574,0
"nóiméad","mm",294,575,0
"caithfear","gdoc",293,576,0
"raid","mm",293,577,1
"thart","mm",293,578,0
"próiseas","mm",292,579,0
"tréimhse","mm",292,580,0
"mairéad","cm",292,581,0
"cié","cm",291,582,0
"thógáil","gdoc",290,583,0
"beaga","gdoc",290,584,0
"oifigiúil","mm",289,585,0
"béarla","mm",289,586,0
"éinne","gdoc",289,587,0
"eol","mm",288,588,0
"iúl","mm",287,589,0
"dollar","mm",286,590,1
"istigh","mm",286,591,0
"ráiteas","mm",286,592,0
"baile","mm",285,593,0
"polasaí","mm",284,594,0
"dílis","mm",284,595,0
"ionas","mm",284,596,0
"bhaile","gdoc",283,597,0
"nós","mm",283,598,0
"dlí","mm",283,599,0
"la","gdoc",282,600,1
"gníomhach","mm",282,601,0
"uimh","cm",280,602,0
"údaráis","gdoc",278,603,0
"beag","mm",278,604,0
"chomhairle","gdoc",277,605,0
"cart","mm",277,606,1
"láidir","mm",276,607,0
"neart","mm",275,608,0
"freastal","mm",275,609,0
"ndiaidh","gdoc",275,610,0
"seasamh","mm",274,611,0
"fuair","gdoc",273,612,0
"breathnach","mm",272,613,0
"páirtí","mm",272,614,0
"eorpach","mm",270,615,0
"tuaithe","gdoc",270,616,0
"chos","gdoc",270,617,0
"pleananna","gdoc",269,618,0
"gcéad","gdoc",268,619,0
"gort","mm",268,620,0
"leithscéal","mm",267,621,0
"cheantar","gdoc",266,622,0
"ndéanfaidh","gdoc",265,623,0
"báire","mm",265,624,0
"gceann","gdoc",265,625,0
"earnáil","mm",265,626,0
"breathnú","gdoc",263,627,0
"ndaoine","gdoc",262,628,0
"mara","gdoc",260,629,1
"sac","mm",260,630,1
"feadh","mm",259,631,0
"anocht","mm",259,632,0
"luath","mm",259,633,0
"choinne","gdoc",259,634,0
"cearta","gdoc",258,635,0
"raidió","mm",258,636,0
"fosta","mm",258,637,0
"ainneoin","mm",257,638,0
"aici","gdoc",256,639,0
"theanga","gdoc",255,640,0
"ghlacadh","gdoc",255,641,0
"uachtarán","mm",255,642,0
"éirí","mm",253,643,0
"páistí","gdoc",253,644,0
"oileán","mm",251,645,0
"máire","mm",251,646,0
"caoimhghín","cm",250,647,0
"phoiblí","gdoc",250,648,0
"se","mm",250,649,0
"baineann","gdoc",250,650,0
"pháirtí","gdoc",250,651,0
"leagtha","gdoc",249,652,0
"breis","mm",249,653,0
"stádas","mm",248,654,0
"trócaire","mm",247,655,0
"coimisinéir","mm",247,656,0
"thiar","mm",246,657,0
"gurb","gdoc",246,658,0
"ábalta","mm",245,659,0
"log","mm",245,660,1
"céim","mm",245,661,0
"fadhb","mm",245,662,0
"dóchas","mm",244,663,0
"dualgas","mm",244,664,0
"bhrú","gdoc",244,665,0
"deich","mm",244,666,0
"déanaí","mm",243,667,0
"aontas","mm",242,668,0
"gcoinne","gdoc",242,669,0
"seal","mm",241,670,1
"deacrachtaí","gdoc",241,671,0
"gnó","mm",241,672,0
"áirithe","mm",240,673,0
"oiread","mm",240,674,0
"gaillimhe","cm",240,675,0
"cuireann","gdoc",239,676,0
"áras","mm",239,677,0
"chéim","gdoc",238,678,0
"inné","mm",238,679,0
"mná","gdoc",238,680,0
"bpobal","gdoc",237,681,0
"tábhachtaí","gdoc",236,682,0
"hamháin","cm",236,683,0
"mbaile","gdoc",235,684,0
"muna","mm",235,685,0
"luaigh","mm",234,686,0
"scéimeanna","gdoc",234,687,0
"tacaíochta","gdoc",234,688,0
"ins","gdoc",234,689,1
"áfach","mm",233,690,0
"leanaí","gdoc",233,691,0
"pas","mm",233,692,1
"todhchaí","mm",232,693,0
"cis","mm",231,694,1
"bogadh","mm",230,695,0
"chor","gdoc",229,696,0
"laghad","mm",229,697,0
"labhair","mm",228,698,0
"fá","gdoc",228,699,0
"páirt","mm",227,700,0
"infheistíocht","mm",227,701,0
"forbairt","mm",226,702,0
"oireachtais","gdoc",226,703,0
"móra","gdoc",225,704,0
"fhorbairt","gdoc",225,705,0
"imithe","gdoc",225,706,0
"riamh","mm",223,707,0
"laghdú","mm",223,708,0
"conas","mm",221,709,0
"féin’s","cm",220,710,0
"áine","gdoc",219,711,0
"réidh","mm",217,712,0
"chosaint","gdoc",217,713,0
"críochnaithe","gdoc",216,714,0
"bean","mm",216,715,1
"tábhacht","mm",216,716,0
"forbartha","gdoc",216,717,0
"leanúint","mm",215,718,0
"cuidiú","mm",215,719,0
"scileanna","gdoc",215,720,0
"eacnamaíochta","cm",215,721,0
"caighdeán","mm",214,722,0
"mbéarla","gdoc",214,723,0
"cóir","mm",214,724,0
"múinteoirí","gdoc",213,725,0
"anuraidh","mm",213,726,0
"céard","gdoc",213,727,0
"oírr","cm",213,728,0
"cead","mm",212,729,0
"rinneadh","gdoc",212,730,0
"reatha","gdoc",212,731,0
"céad","mm",211,732,0
"gcoiste","cm",211,733,0
"labhartha","gdoc",210,734,0
"sílim","gdoc",210,735,0
"chlár","gdoc",209,736,0
"chaitheamh","gdoc",209,737,0
"peadar","mm",209,738,0
"mhic","gdoc",209,739,0
"árann","cm",209,740,0
"cá","mm",208,741,0
"ghlac","gdoc",208,742,0
"stair","mm",207,743,1
"íoc","mm",207,744,0
"bunaithe","gdoc",207,745,0
"ionad","mm",207,746,0
"cuí","mm",206,747,0
"airgeadais","gdoc",206,748,0
"tagtha","gdoc",206,749,0
"bhonn","gdoc",206,750,0
"gaelcholáiste","cm",206,751,0
"lé","mm",206,752,0
"buíoch","mm",205,753,0
"taighde","mm",204,754,0
"feidhmiú","gdoc",204,755,0
"chontae","gdoc",204,756,0
"toghchán","mm",203,757,0
"fóill","mm",203,758,0
"deacair","mm",203,759,0
"dár","mm",203,760,0
"meitheal","mm",203,761,0
"mill","mm",202,762,1
"tuairisc","mm",202,763,0
"cara","mm",201,764,0
"maíria","cm",201,765,0
"éirinn","gdoc",200,766,0
"luaite","gdoc",200,767,0
"suim","mm",200,768,0
"cúig","mm",200,769,0
"thagann","gdoc",200,770,0
"jab","mm",200,771,1
"al","mm",199,772,1
"gabh","mm",199,773,0
"oideachas","mm",198,774,0
"mhéid","gdoc",198,775,0
"uafásach","mm",197,776,0
"fágtha","mm",197,777,0
"eagraíocht","mm",197,778,0
"seirbhíse","gdoc",197,779,0
"smaoineamh","mm",196,780,0
"straitéise","cm",196,781,0
"dabht","mm",195,782,0
"gcontae","gdoc",195,783,0
"ranna","gdoc",194,784,0
"chuaigh","gdoc",193,785,0
"oileáin","gdoc",193,786,0
"gceart","gdoc",192,787,0
"rath","mm",192,788,0
"tiocfaidh","gdoc",192,789,0
"sop","mm",191,790,1
"vótáil","mm",191,791,0
"mheán","gdoc",191,792,0
"phróiseas","gdoc",190,793,0
"dhíth","gdoc",190,794,0
"géarchéim","mm",190,795,0
"mbíonn","gdoc",189,796,0
"léi","gdoc",189,797,0
"beagnach","mm",189,798,0
"áitiúla","gdoc",189,799,0
"aontaithe","gdoc",188,800,0
"fómhair","gdoc",188,801,0
"gcomhthéacs","cm",188,802,0
"gcrích","gdoc",188,803,0
"ós","gdoc",187,804,0
"méadú","mm",187,805,0
"fíor","mm",187,806,0
"leagan","mm",186,807,0
"lárnach","mm",186,808,0
"coláistí","cm",186,809,0
"déanaim","cm",185,810,0
"páirtithe","gdoc",185,811,0
"mórán","mm",185,812,0
"chás","gdoc",185,813,0
"fíorthábhachtach","cm",185,814,0
"soláthar","mm",185,815,0
"suntasach","mm",184,816,0
"bhealach","gdoc",184,817,0
"áitiúil","mm",184,818,0
"léiríonn","gdoc",184,819,0
"inár","gdoc",184,820,0
"fáiltím","cm",183,821,0
"heagraíochtaí","cm",183,822,0
"gcás","gdoc",183,823,0
"tuilleadh","mm",183,824,0
"chruthú","gdoc",183,825,0
"aistriúcháin","cm",182,826,0
"des","mm",181,827,0
"huaire","gdoc",181,828,0
"dheireadh","gdoc",181,829,0
"orbán","cm",181,830,0
"domhain","mm",180,831,0
"daltaí","gdoc",180,832,0
"éileamh","mm",180,833,0
"laistigh","mm",179,834,0
"samhraidh","gdoc",179,835,0
"mbun","gdoc",179,836,0
"rannóg","mm",179,837,0
"freagrach","mm",178,838,0
"tamall","mm",177,839,0
"tionchar","mm",176,840,0
"dhiaidh","gdoc",176,841,0
"ndáiríre","cm",175,842,0
"gcóras","gdoc",175,843,0
"tugadh","gdoc",175,844,0
"id","mm",175,845,1
"cuan","mm",175,846,0
"scrúdú","mm",173,847,0
"áiteanna","gdoc",173,848,0
"dhuine","gdoc",173,849,0
"dhéanann","gdoc",173,850,0
"tasc","mm",173,851,0
"orla","mm",173,852,0
"fostaíochta","cm",172,853,0
"fáil-progressive","cm",172,854,0
"dearfach","mm",172,855,0
"poist","gdoc",172,856,0
"bealach","mm",172,857,0
"reachtaíochta","cm",171,858,0
"ard","mm",171,859,0
"dtreo","gdoc",171,860,0
"maidin","mm",171,861,0
"chill","gdoc",170,862,1
"mhaithe","gdoc",170,863,0
"cumann","mm",169,864,0
"tugtha","mm",169,865,0
"óg","mm",169,866,0
"tuismitheoirí","gdoc",168,867,0
"nóirín","cm",168,868,0
"bhráid","gdoc",167,869,0
"rogha","mm",167,870,0
"abhaile","mm",166,871,0
"rug","gdoc",165,872,1
"gnóthaí","gdoc",165,873,0
"fhoilsiú","gdoc",164,874,0
"déanfaidh","gdoc",164,875,0
"cuma","mm",163,876,0
"óige","mm",163,877,0
"ollmhór","gdoc",162,878,0
"clann","mm",162,879,0
"bhuiséad","cm",162,880,0
"seachtaine","gdoc",162,881,0
"lár","mm",161,882,0
"bpróiseas","cm",161,883,0
"slí","mm",160,884,0
"chuireann","gdoc",159,885,0
"scoile","gdoc",159,886,0
"chathaoirligh","cm",159,887,0
"dteagmháil","cm",159,888,0
"lae","mm",158,889,0
"oifigigh","gdoc",158,890,0
"vóta","mm",157,891,0
"t-údarás","cm",157,892,0
"amhras","mm",157,893,0
"brath","mm",157,894,0
"choinneáil","gdoc",157,895,0
"nóg","cm",157,896,0
"daingean","mm",156,897,0
"guím","cm",156,898,0
"sail","mm",155,899,1
"ceithre","mm",155,900,0
"lasmuigh","mm",155,901,0
"dúshlán","mm",155,902,0
"talamh","mm",155,903,0
"pholasaí","cm",155,904,0
"tú","mm",154,905,0
"léiriú","mm",153,906,0
"ainm","mm",152,907,0
"ros","mm",152,908,0
"chaoi","gdoc",152,909,0
"lú","mm",152,910,0
"cosaint","mm",151,911,0
"tógáil","mm",150,912,0
"buiséad","mm",150,913,0
"amárach","mm",149,914,0
"tslí","gdoc",149,915,0
"foilsíodh","gdoc",149,916,0
"imní","mm",149,917,0
"costas","mm",149,918,0
"nollaig","mm",149,919,0
"bhord","gdoc",149,920,0
"feiceáil","gdoc",148,921,0
